	barC007_103	barC010_102	barC011_101
 Assembly_000000000303_Contig_4_311_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000323_Contig_1_1080_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_5_228_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000505_Contig_6_133_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000000425_Contig_3_207_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000627_Contig_1_336_r_supercontig 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000425_Contig_4_220_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000000807_Contig_1_341_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000001075_Contig_1_1265_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000001321_Contig_2_258_r 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000807_Contig_6_210_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000001447_Contig_2_922_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000001691_Contig_1_745_r_supercontig 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000001691_Contig_2_636_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000001837_Contig_6_196_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000001911_Contig_1_1233_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000001681_Contig_1_1692_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000002513_Contig_2_341_r 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000002057_Contig_1_332_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000001901_Contig_3_314_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000002103_Contig_6_298_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000002513_Contig_3_285_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000002793_Contig_6_152_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000002931_Contig_6_166_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000002801_Contig_9_130_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000002549_Contig_1_1183_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000002151_Contig_1_1565_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000002821_Contig_4_185_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000003575_Contig_2_334_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003015_Contig_1_280_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000003615_Contig_15_156_r 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000002549_Contig_2_402_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003783_Contig_2_137_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003023_Contig_1_603_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000002839_Contig_10_138_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003761_Contig_1_1427_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003633_Contig_1_423_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003307_Contig_3_374_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003997_Contig_2_1000_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000003997_Contig_1_870_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000003997_Contig_8_142 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000003805_Contig_1_896_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000004237_Contig_4_144_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000003703_Contig_8_143_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000003997_Contig_5_123_supercontig 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000004741_Contig_6_153_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000003877_Contig_3_205_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000003997_Contig_3_855_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000004237_Contig_2_419_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000004069_Contig_2_227_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000004741_Contig_4_185_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005185_Contig_3_133_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000003997_Contig_4_559_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005211_Contig_1_955_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000004287_Contig_1_534_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000004069_Contig_5_157_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005115_Contig_1_505_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005267_Contig_2_595_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005267_Contig_3_387_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000004701_Contig_2_313_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000005267_Contig_1_346_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005267_Contig_7_166_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000005323_Contig_2_437_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005267_Contig_4_224_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005477_Contig_3_158_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005495_Contig_1_383_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000005495_Contig_4_122_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005183_Contig_1_1801_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005495_Contig_7_220_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005469_Contig_1_399_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000005819_Contig_6_201_r_supercontig 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005267_Contig_12_132_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000005495_Contig_2_190_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005985_Contig_1_575_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005267_Contig_5_185_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000006801_Contig_4_188_r_supercontig 	 conditions are met 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000005495_Contig_8_213_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000006097_Contig_3_267_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000007081_Contig_2_511_r 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000006821_Contig_1_759_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000007037_Contig_1_1470_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005477_Contig_1_1647_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005495_Contig_3_127_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000007105_Contig_1_1726_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000005819_Contig_1_255_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000007113_Contig_1_1931_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000006211_Contig_4_286_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000007041_Contig_1_1141_r 	 conditions are met 	 conditions are met 	 conditions are met 	
